19-08-2013 11:32:24: Login geslaagd, User: developer@bitplate.local
19-08-2013 11:32:33: Login niet geslaagd, User: 
19-08-2013 11:32:37: Login niet geslaagd, User: sdf
19-08-2013 11:32:46: Login geslaagd, User: developer@bitplate.local
19-08-2013 12:23:06: Login geslaagd, User: developer@bitplate.local
19-08-2013 12:29:54: Login geslaagd, User: developer@bitplate.local
19-08-2013 15:24:15: Login niet geslaagd, User: developer@bitplate.local
19-08-2013 15:29:16: Login niet geslaagd, User: developer@bitplate.local
19-08-2013 15:29:21: Login geslaagd, User: developer@bitplate.local
19-08-2013 16:18:52: Login geslaagd, User: developer@bitplate.local
19-08-2013 16:20:25: Login geslaagd, User: developer@bitplate.local
19-08-2013 16:34:43: Login geslaagd, User: developer@bitplate.local
20-08-2013 08:14:10: Login geslaagd, User: developer@bitplate.local
20-08-2013 08:38:10: Login geslaagd, User: developer@bitplate.local
20-08-2013 09:02:45: Login geslaagd, User: developer@bitplate.local
20-08-2013 09:03:49: Login geslaagd, User: developer@bitplate.local
20-08-2013 09:11:28: Login geslaagd, User: developer@bitplate.local
20-08-2013 09:17:36: Login geslaagd, User: developer@bitplate.local
20-08-2013 13:12:27: Login geslaagd, User: developer@bitplate.local
20-08-2013 13:37:44: Login geslaagd, User: developer@bitplate.local
20-08-2013 14:42:50: Login geslaagd, User: developer@bitplate.local
20-08-2013 14:45:37: Login geslaagd, User: developer@bitplate.local
27-08-2013 16:43:18: Login geslaagd, User: lic@bitplate.local
27-08-2013 16:44:06: Login geslaagd, User: lic@bitplate.local
27-08-2013 17:02:59: Login geslaagd, User: lic@bitplate.local
28-08-2013 15:09:23: Login geslaagd, User: lic@bitplate.local
28-08-2013 15:16:42: Login geslaagd, User: lic@bitplate.local
28-08-2013 15:18:30: Login geslaagd, User: lic@bitplate.local
28-08-2013 15:19:36: Login geslaagd, User: lic@bitplate.local
28-08-2013 15:24:43: Login geslaagd, User: lic@bitplate.local
28-08-2013 15:33:35: Login geslaagd, User: lic@bitplate.local
28-08-2013 16:12:51: Login geslaagd, User: lic@bitplate.local
29-08-2013 09:25:34: Login geslaagd, User: lic@bitplate.local
29-08-2013 10:36:35: Login geslaagd, User: lic@bitplate.local
29-08-2013 16:11:16: Login geslaagd, User: lic@bitplate.local
29-08-2013 16:17:17: Login geslaagd, User: lic@bitplate.local
